notification_id,product_id,message,triggered_at,send_status,num_negative,threshold
1,B0C8TGCVL1,"Product 'Oraimo FreePods 3C (OEB-E104DC), ENC Calling Noise Cancellation, powerful bass 4 mics, Long Playtime True Wireless Earbuds IPX5-Water Resistant, Via App – Black (1 Year Warranty)' (ID: B0C8TGCVL1) has received 11 negative review(s).",2025-11-29 22:05:00,no,11,15
2,B0C9MNT48D,"Product 'Anker Soundcore R50i Black True Wireless Earbuds with 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5 Water Resistant, AI Clear Calls, 2 Mics, 18 Months Warranty, Black' (ID: B0C9MNT48D) has received 5 negative review(s).",2025-11-29 22:05:00,no,5,15
3,B0CDM94MJL,"Product 'HUAWEI FreeBuds SE 2, 40-Hour Battery Life, Compact and Comfortable to Grip, 3 Hours of Music Playback on a 10-Minute Charge, IP54 Dust & Splash Resistance, Isle Blue' (ID: B0CDM94MJL) has received 17 negative review(s).",2025-11-29 22:05:00,yes,17,15
4,B0CVVBP6R8,"Product 'AirPods Pro 2 Plus Bluetooth Headset with Active Noise Cancelling Wireless Charging Case (White, True Wireless) in Ear' (ID: B0CVVBP6R8) has received 41 negative review(s).",2025-11-29 22:05:00,yes,41,15
5,B0D6BPY3SC,"Product 'Soundcore By Anker R50i NC True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 45H Playtime, IP54, AI Clear Calls with 4 Mics, 22 Preset EQs via App-Black, 18 Months Warranty' (ID: B0D6BPY3SC) has received 6 negative review(s).",2025-11-29 22:05:00,no,6,15
6,B0DBHRWRKC,"Product 'Xiaomi Wireless Earphones, Redmi buds 6 Play, 36 Hours Playtime, AI Call Noise Reduction, Ultra Lightweight, Compatible with Google Fast Pair, Fast Charging, Black |6 month manufacturer warranty' (ID: B0DBHRWRKC) has received 7 negative review(s).",2025-11-29 22:05:00,no,7,15
7,B0BZV4QFP8,"Product 'Anker soundcore Liberty 4 NC Wireless, 98.5% Noise Reduction, Adaptive Noise Cancelling to Ears 50H Battery, Wireless Charging, Bluetooth 5.3+ 18 Months Local Warranty - Black' (ID: B0BZV4QFP8) has received 18 negative review(s).",2025-11-29 22:07:24,no,18,15
8,B0CM6JQHTL,"Product 'Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App, Black, 18 Months Warranty' (ID: B0CM6JQHTL) has received 10 negative review(s).",2025-11-29 22:07:24,no,10,15
9,B0D35JN2JH,"Product 'HUAWEI FreeBuds 6i, Intelligent Dynamic ANC 3.0, Punchy Bass, Fast Charging, Longer Listening, Distraction-Free Calling, IP54 Sweat- and Water-resistance, Dual-Device Connection, White' (ID: B0D35JN2JH) has received 3 negative review(s).",2025-11-29 22:07:24,no,3,15
10,B0DJW5G283,"Product 'ANKER Soundcore Q11i Wireless Headphones, 40mm Dynamic DriverHi-Res Audio, One-Touch Bass Boost, 60-Hour Playtime, Detachable Ear Cushions, Bluetooth V5.3, Dark Gray | 18 Months Warranty' (ID: B0DJW5G283) has received 4 negative review(s).",2025-11-29 22:07:24,no,4,15
11,B0F7FVY8FS,Product 'Oraimo OTW-323 SpaceBuds Neo Premium Earbuds Immersive Audio for Dynamic Lifestyles - Speed Black' (ID: B0F7FVY8FS) has received 4 negative review(s).,2025-11-29 22:07:24,no,4,15
12,B096N9YPC8,Product 'M10 New M10 TWS Immersive Wireless Earbuds with Wireless Charging Case Bluetooth 5.1 9D Premium Sound Deep Bass Sports Waterproof IPX7 with Mic 6 hr Playing Time' (ID: B096N9YPC8) has received 41 negative review(s).,2025-11-29 22:09:29,no,41,15
13,B09K7MM86Z,"Product 'Anker soundcore life u2i bluetooth neckband with 22 h playtime, 10 mm drivers,clear calls , usb-c fast charging, foldable & lightweight build, ipx5 waterproof - black-18 months local warranty' (ID: B09K7MM86Z) has received 12 negative review(s).",2025-11-29 22:09:29,no,12,15
14,B0CFXMZRGV,"Product 'Soundcore Liberty 4 NC Earbuds, 98.5 Percent Noise Reduction, Adaptive Cancelling To Ears And Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 Navy Blue -18 Months Warranty' (ID: B0CFXMZRGV) has received 9 negative review(s).",2025-11-29 22:09:29,no,9,15
15,B0CH8H6ZL6,Product 'Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White' (ID: B0CH8H6ZL6) has received 8 negative review(s).,2025-11-29 22:09:29,no,8,15
16,B0CHWWMCSF,"Product 'Wireless Earbuds (PRO 2nd generation) Bluetooth for Android/iOS with Touch Control, Noise Canceling, Charging case' (ID: B0CHWWMCSF) has received 31 negative review(s).",2025-11-29 22:09:29,no,31,15
17,B0D22RLPP3,"Product 'Soundcore K20i by Anker, Semi-in-Ear Earbuds, Bluetooth Wireless, 36H Playtime, Fast Charge, Clear Sound, ENC 2-Mic Clear Calls, Custom EQ, IPX5, Bluetooth 5.3, App Control (Black) 18 Months Warranty' (ID: B0D22RLPP3) has received 39 negative review(s).",2025-11-29 22:09:29,no,39,15
18,B0D8LHSKTX,"Product 'Samsung Galaxy Buds3 Pro, Wireless Bluetooth Earbuds with Adaptive: Noise Control, Hi-Fi Sound, 360 Audio-Silver - 1 Year Local Warranty' (ID: B0D8LHSKTX) has received 10 negative review(s).",2025-11-29 22:09:29,no,10,15
19,B0DHHDRCVQ,"Product 'Oraimo Necklace Lite OEB-311 Neckband Wireless in Ear Earphones Deep Bass,30Hrs Playtime,ASAP Charge,ENC Tech,Low-Latency Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Dual Pairing' (ID: B0DHHDRCVQ) has received 6 negative review(s).",2025-11-29 22:09:29,no,6,15
20,B01N0Z1YKE,"Product 'Xiaomi Mi In-Ear Earphones Basic with High-Fidelity Sound, Built-in Microphone, and Comfortable Silicone Ear Tips in Black for Enhanced Audio Quality and Clear Calls' (ID: B01N0Z1YKE) has received 5 negative review(s).",2025-11-29 22:11:31,no,5,15
21,B0C4JRWJGM,"Product 'Earbuds Air31, Wireless, Wired Earphones Transparent with Deep Bass, Stereo Sound, Bluetooth Headphone with Charging Case, White, Black and Pink (black)' (ID: B0C4JRWJGM) has received 31 negative review(s).",2025-11-29 22:11:31,no,31,15
22,B0CCH9M3FF,"Product 'Anker soundcore Liberty 4 NC Wireless Noise Cancelling Earbuds, Adaptive Noise Cancelling to Ears and Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 - White' (ID: B0CCH9M3FF) has received 26 negative review(s).",2025-11-29 22:11:31,no,26,15
23,B0CH8H6ZL6,Product 'Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White' (ID: B0CH8H6ZL6) has received 23 negative review(s).,2025-11-29 22:11:31,no,23,15
24,B0CSZ4W59B,Product 'Wireless Earbuds Bluetooth 5.3 Headphones Deep Bass with Mic 140H Playtime LED Display with Charging Case IPX4 Waterproof Stereo Earphones In-Ear CVC 8.0 Noise Reduction Headset For Sport/Work M90 Pro' (ID: B0CSZ4W59B) has received 19 negative review(s).,2025-11-29 22:11:31,no,19,15
25,B0CVXQ31DZ,"Product 'Air Puds Pro Wireless Bluetooth Earbuds With Charging Case, Noise Cancelling, in-Ear Mic, IPX5 Waterproof for iPhone/Android/Airpod Pro' (ID: B0CVXQ31DZ) has received 20 negative review(s).",2025-11-29 22:11:31,no,20,15
26,B0CX9HJ4C1,"Product 'Infinix-Buds Neo-XE26 Black V5.3 Bluetooth Earbuds, AI ENC Clear Calls & Sound with 4 Mics, ENC Noise Cancellation, 28 hrs Battery Life, 40/500 mAh, IPX4 Water Resistant, 1 Year Warranty.' (ID: B0CX9HJ4C1) has received 5 negative review(s).",2025-11-29 22:11:31,no,5,15
27,B0D2XRXNGY,"Product 'Soundcore V20i by Anker Open-Ear Headphones, Adjustable Ear Hooks, Ultra-Comfort, Snug Fit, Powerful Sound, Clear Calls, LED Lights, 36H Playtime, Bluetooth 5.4 Earbuds, Black - 18 Months Warranty' (ID: B0D2XRXNGY) has received 6 negative review(s).",2025-11-29 22:11:31,no,6,15
28,B0D54298JX,"Product 'CMF by Nothing Buds Pro 2, Premium Noise-Canceling Wireless Earbuds, Deep Bass, IP55 Water Resistance, Dark Grey' (ID: B0D54298JX) has received 2 negative review(s).",2025-11-29 22:11:31,no,2,15
29,B0DB1V1HNC,"Product 'Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices' (ID: B0DB1V1HNC) has received 5 negative review(s).",2025-11-29 22:11:31,no,5,15
30,B0DCVPY1LV,"Product 'soundcore by Anker R50i VI True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Black - 18 Months Warranty' (ID: B0DCVPY1LV) has received 2 negative review(s).",2025-11-29 22:11:31,no,2,15
31,B0DM9KBP4B,"Product 'Soundcore by Anker R50i NC Wireless Bluetooth Earphones, Powerful and Smart Noise Cancelling, Powerful Bass, 45 Hours Playtime, 2-in-1 Case and Phone Stand, IP54, Bluetooth 5.4, Black' (ID: B0DM9KBP4B) has received 8 negative review(s).",2025-11-29 22:11:31,no,8,15
32,B0BYWK5TD6,"Product 'JBL Tune 520BT Wireless On-Ear Headphones, Pure Bass Sound, 57H Battery with Speed Charge, Hands-Free Call + Voice Aware, Multi-Point Connection, Lightweight and Foldable - Blue, JBLT520BTBLUEU' (ID: B0BYWK5TD6) has received 2 negative review(s).",2025-11-29 22:18:18,no,2,15
33,B0CPLYCC3N,"Product 'Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App,Blue, 18 Months Warranty' (ID: B0CPLYCC3N) has received 9 negative review(s).",2025-11-29 22:18:18,no,9,15
34,B0CPW22HTD,Product 'Earbuds with Bluetooth Headset' (ID: B0CPW22HTD) has received 15 negative review(s).,2025-11-29 22:18:18,no,15,15
35,B0D8LGZSXW,"Product 'Samsung Galaxy Buds3, Silver, Wireless Bluetooth Earbuds with Adaptive EQ/ANC, Hi-Fi Sound, 360 Audio, 1 Year Local Warranty' (ID: B0D8LGZSXW) has received 10 negative review(s).",2025-11-29 22:18:18,no,10,15
36,B0DB1V1HNC,"Product 'Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices' (ID: B0DB1V1HNC) has received 12 negative review(s).",2025-11-29 22:18:18,no,12,15
37,B0DCBTWXLM,"Product 'soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI' (ID: B0DCBTWXLM) has received 5 negative review(s).",2025-11-29 22:18:18,no,5,15
38,B0DWLF6ZQC,"Product 'Oraimo SpaceBuds Hybrid (OTW-630), ANC True Wireless Earbuds, 4 Mic AI Noise Cancellation, 40-Hr Long Playtime, Type-C, Antibacterial Eartips, Waterproof: IPX4 – Space Grey (12 Month Warranty)' (ID: B0DWLF6ZQC) has received 2 negative review(s).",2025-11-29 22:18:18,no,2,15
39,B0F99PS1S7,"Product 'Soundcore R50I NC By Anker Noise Cancelling In Ear Earbuds,Powerful Bass,45H Playtime,2-In-1 Case And Phone Stand,Ip54,Fast Charge 10Min = 120 Min,Bluetooth 5.4 (Pink)- 18 Months Warranty' (ID: B0F99PS1S7) has received 2 negative review(s).",2025-11-29 22:18:18,no,2,15
